image_id,region_name,Macroalgae,Rubble,Crustose coralline algae,Bare substrate,Sand,Turf algae,Porites,Hard coral,Soft coral,Acropora,Tape,Pocillopora,Dead coral,Montipora,Cyanobacteria,Sponge
0032dba6-8357-42e2-bace-988f99032286,Central Indo-Pacific,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0
003e151e-b3c3-419f-9453-c968c88d4870,Central Indo-Pacific,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0055fc63-bcce-485b-bb3b-5384c08ad87f,Central Indo-Pacific,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0076c1b6-dd8a-4742-829b-e5480b60db5a,Central Indo-Pacific,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
00a8171e-32e2-48a5-91b1-74095feb4713,Central Indo-Pacific,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
00cee838-bf3a-4e04-8bd3-0cb0362c939e,Central Indo-Pacific,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0
00d067f4-f93b-4728-ab52-e0ba32b83635,Central Indo-Pacific,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
00d6ad04-2be2-41db-bbca-93173fc2b205,Central Indo-Pacific,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0
0124737d-da11-48e7-8c98-3499f49a6232,Central Indo-Pacific,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0
01350d84-802b-4a6a-9733-2ff9ab790bf4,Central Indo-Pacific,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0
0150d437-bab4-45c7-beae-fa432c2a1282,Tropical Atlantic,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
019bbca9-b469-4609-a31b-ddf70c99674c,Central Indo-Pacific,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
01bee0f8-ff0a-47fe-aafd-603709bf419f,Central Indo-Pacific,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0
01c92ca3-3c43-4472-84ea-640a3587e18f,Central Indo-Pacific,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
01ed091b-056a-40ed-a00e-7f4abdaf92c1,Central Indo-Pacific,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0
01f34799-8ada-4137-b6e3-3dbc6e5abde6,Central Indo-Pacific,1,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0
023a5ddd-a95a-4753-9c23-ccbf020b7c98,Central Indo-Pacific,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
023b7a5a-0437-40d5-aef8-c2163dcaa191,Central Indo-Pacific,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
02675692-1856-48d4-bf61-84781523b69e,Central Indo-Pacific,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0
02720dab-25a9-41ed-9414-f8399f9fc0b8,Central Indo-Pacific,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0
02784d56-69e8-42e1-a1e6-b766454e245c,Central Indo-Pacific,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
02843fe3-157f-4e87-b7ff-539304d09616,Central Indo-Pacific,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
0294a1dd-6160-404e-8919-324055726f6d,Central Indo-Pacific,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0
029ea9af-7cf5-4e29-bc01-fa240067be88,Central Indo-Pacific,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
02a0b38d-ccbf-4920-ad79-ecf063c1954a,Central Indo-Pacific,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
02baa7b9-ce88-4b63-910c-a8c7e54ee164,Central Indo-Pacific,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
02e2a87f-78f7-40c3-9d51-b7ba18825f81,Central Indo-Pacific,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
02e2e379-e2ed-474d-92ce-b60d93a8cd4f,Central Indo-Pacific,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
02e34640-c3f7-4cb5-84a7-76d6474a1a0f,Central Indo-Pacific,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
02f3db2d-1ce2-4b8b-8223-0c0ceb674e7c,Central Indo-Pacific,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
030e1d56-634f-4d9e-9cef-afad37af200d,Central Indo-Pacific,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1
0316e0a3-0a0b-463e-93bf-c0ccebeac016,Central Indo-Pacific,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
031ac11f-cff9-4bed-9fd0-f5301437eb0a,Central Indo-Pacific,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
031f49f1-c046-48fb-bfb6-85573658c94d,Central Indo-Pacific,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
0336796e-4e88-4594-b8da-330a468fd810,Central Indo-Pacific,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
0338ff7c-c133-40d9-8a5e-734366da11ef,Central Indo-Pacific,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
03744bf1-49b7-46d5-874d-bae4b0053784,Central Indo-Pacific,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0
037af395-3277-4baf-9d1b-8f76b41f6b16,Central Indo-Pacific,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
037cae33-7085-48d9-ac53-e6719c177253,Central Indo-Pacific,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
03853f67-d9e3-4cf4-98a3-325c69320748,Central Indo-Pacific,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0
038a2642-3a59-4ff4-a0bd-2f2c3afef131,Central Indo-Pacific,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
039dae6f-c3e2-4ca7-b4fb-6d2071703ab5,Central Indo-Pacific,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0
03ae6067-6717-4401-8128-cf71b4e2ff1d,Central Indo-Pacific,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
03de1712-2b34-4f2c-a9e2-07ccef61894d,Central Indo-Pacific,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
03de1a0f-4746-43a8-8de3-90746b2cf0c1,Central Indo-Pacific,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
03e6bdc6-9c8a-4e0e-ab4c-ffa854d1cef2,Central Indo-Pacific,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
03fcac65-3061-4402-889c-383cc1274f7a,Central Indo-Pacific,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
04033750-cb03-4803-a289-70b9b5b8a220,Central Indo-Pacific,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
040db350-7b3e-4127-b4dd-1e1d9d617ea4,Central Indo-Pacific,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0
040df433-b75d-4162-af39-c2e60133b144,Central Indo-Pacific,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
0428c24f-fbb1-478e-84cd-969d9ad1019e,Central Indo-Pacific,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
043e47f0-83a1-4535-a66f-7be719602efe,Central Indo-Pacific,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0
043f623b-6c69-463c-bdf6-3fbb46578b1f,Central Indo-Pacific,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0
04437834-4a21-4de6-b2d1-92eedddc0173,Central Indo-Pacific,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0
045eec49-ee88-48db-88aa-0e8af68dad12,Tropical Atlantic,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0
04600329-9ddf-482e-b591-3c60d65e4802,Central Indo-Pacific,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0
0464876a-4d17-43b8-ae51-fac431c4f637,Central Indo-Pacific,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0
0479ce9b-a962-4a57-b64e-974c865ee9fa,Central Indo-Pacific,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0
048c98fc-1447-4bef-9966-802c73236363,Central Indo-Pacific,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0
04a3caa4-c470-49ee-ab67-69272d284aed,Central Indo-Pacific,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
04a6738e-7426-4bee-a826-e164cb09decf,Central Indo-Pacific,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
04a94f49-77a7-4997-a3c8-a470b5cda3af,Central Indo-Pacific,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0
04afff7a-5bd1-4c10-8c93-10e38da58d3a,Tropical Atlantic,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
04df5c24-4880-4729-a20f-29c9ec01a26f,Central Indo-Pacific,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0
04f43bb9-5679-482a-b4fc-fbc750dd941a,Central Indo-Pacific,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0
050ef335-e56b-4e52-a547-910e5d0b5540,Central Indo-Pacific,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0
05167b03-b092-4c2a-a04a-d78ebaee1b11,Central Indo-Pacific,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0
