image_id,region_id,region_name
00059a47-03b8-47f3-adf6-3ab5616922cf,1d31d9ea-e78d-438b-8667-0d63d1aba257,Western Indo-Pacific
00086e76-2b0d-48ff-a25b-31020c226047,1d31d9ea-e78d-438b-8667-0d63d1aba257,Western Indo-Pacific
00138e67-611c-4e04-a382-46e0484f2f95,1d31d9ea-e78d-438b-8667-0d63d1aba257,Western Indo-Pacific
001580fa-3324-4053-a74b-c5ef08d49d07,1d31d9ea-e78d-438b-8667-0d63d1aba257,Western Indo-Pacific
001f365c-e6f9-4ce2-a68b-6fe493ed80a6,1d31d9ea-e78d-438b-8667-0d63d1aba257,Western Indo-Pacific
001fabba-820e-4ae4-821e-0150cc013f41,1d31d9ea-e78d-438b-8667-0d63d1aba257,Western Indo-Pacific
0032dba6-8357-42e2-bace-988f99032286,983267a0-7349-4d3e-a23e-fb9353ca8ba5,Central Indo-Pacific
003e151e-b3c3-419f-9453-c968c88d4870,983267a0-7349-4d3e-a23e-fb9353ca8ba5,Central Indo-Pacific
004ed958-bdd4-453d-83ed-bf773c78bfc8,1d31d9ea-e78d-438b-8667-0d63d1aba257,Western Indo-Pacific
0055f123-0b6a-4c30-ac51-db7345abd320,1d31d9ea-e78d-438b-8667-0d63d1aba257,Western Indo-Pacific
0055fc63-bcce-485b-bb3b-5384c08ad87f,983267a0-7349-4d3e-a23e-fb9353ca8ba5,Central Indo-Pacific
0072906a-2d45-41ee-84ab-855d5f740028,1d31d9ea-e78d-438b-8667-0d63d1aba257,Western Indo-Pacific
00751fc7-b295-4a46-8576-745a94274168,1d31d9ea-e78d-438b-8667-0d63d1aba257,Western Indo-Pacific
0076c1b6-dd8a-4742-829b-e5480b60db5a,983267a0-7349-4d3e-a23e-fb9353ca8ba5,Central Indo-Pacific
007e2898-f644-42bc-926e-86a08b8c7b1a,1d31d9ea-e78d-438b-8667-0d63d1aba257,Western Indo-Pacific
00843672-9943-46ae-b77a-acb5770f8afb,1d31d9ea-e78d-438b-8667-0d63d1aba257,Western Indo-Pacific
008ccb28-1b6c-4f7a-ac2c-0921745d9e41,1d31d9ea-e78d-438b-8667-0d63d1aba257,Western Indo-Pacific
00938ce1-cc82-4f8d-ae40-db8b10d63ce6,1d31d9ea-e78d-438b-8667-0d63d1aba257,Western Indo-Pacific
009b60a4-09c5-49cf-870e-5a0c01702972,1d31d9ea-e78d-438b-8667-0d63d1aba257,Western Indo-Pacific
00a8171e-32e2-48a5-91b1-74095feb4713,983267a0-7349-4d3e-a23e-fb9353ca8ba5,Central Indo-Pacific
00ad9316-b191-4c15-bee2-7e6f9313989d,1d31d9ea-e78d-438b-8667-0d63d1aba257,Western Indo-Pacific
00cee838-bf3a-4e04-8bd3-0cb0362c939e,983267a0-7349-4d3e-a23e-fb9353ca8ba5,Central Indo-Pacific
00d067f4-f93b-4728-ab52-e0ba32b83635,983267a0-7349-4d3e-a23e-fb9353ca8ba5,Central Indo-Pacific
00d6100f-1bc5-42d7-b249-b292c990a130,1d31d9ea-e78d-438b-8667-0d63d1aba257,Western Indo-Pacific
00d6ad04-2be2-41db-bbca-93173fc2b205,983267a0-7349-4d3e-a23e-fb9353ca8ba5,Central Indo-Pacific
00da6fa1-9b9c-4a59-bbcb-d9c0271cc3b0,1d31d9ea-e78d-438b-8667-0d63d1aba257,Western Indo-Pacific
00dabf19-1d9a-44a8-b1f9-e4495e6f008f,1d31d9ea-e78d-438b-8667-0d63d1aba257,Western Indo-Pacific
0103e2eb-16e5-4bad-b341-3ce746308cee,1d31d9ea-e78d-438b-8667-0d63d1aba257,Western Indo-Pacific
011011fb-9702-4842-8d88-3b5b4b9deedc,1d31d9ea-e78d-438b-8667-0d63d1aba257,Western Indo-Pacific
01121fc7-85f7-4d1c-acc1-ba9ce6a63d60,1d31d9ea-e78d-438b-8667-0d63d1aba257,Western Indo-Pacific
